,price,dlc_count,achievements,main_story,multi-language,has_voice_acting,extra_content_hours,independent,rpg,action,adventure,sim,casual,success
152,9.99,5,80,12.28,1.0,1.0,27.72,0.0,0.0,1.0,1.0,0.0,0.0,1.0
153,0.0,0,99,13.08,1.0,1.0,30.17,0.0,0.0,1.0,1.0,0.0,0.0,1.0
154,0.0,0,99,13.08,1.0,1.0,30.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0
155,0.0,0,99,13.08,1.0,1.0,30.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0
156,0.0,0,99,13.08,1.0,1.0,30.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0
157,0.0,0,99,13.08,1.0,1.0,30.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0
159,29.99,2,64,18.38,1.0,1.0,34.370000000000005,1.0,1.0,1.0,1.0,0.0,0.0,0.0
161,14.99,1,22,4.82,1.0,0.0,10.549999999999999,1.0,0.0,1.0,0.0,0.0,0.0,1.0
163,19.99,8,59,11.33,1.0,1.0,37.79,1.0,0.0,0.0,1.0,1.0,0.0,1.0
165,39.99,1,29,10.07,1.0,1.0,16.35,1.0,0.0,1.0,1.0,0.0,0.0,1.0
166,2.99,0,49,9.9,1.0,1.0,18.68,0.0,0.0,1.0,0.0,0.0,0.0,1.0
167,19.99,1,74,6.52,1.0,0.0,40.849999999999994,1.0,0.0,1.0,0.0,0.0,0.0,1.0
168,19.99,0,59,14.65,1.0,1.0,27.78,0.0,0.0,1.0,1.0,0.0,0.0,1.0
169,24.99,1,68,17.6,1.0,1.0,34.769999999999996,1.0,0.0,1.0,1.0,1.0,0.0,1.0
172,39.99,0,11,11.02,1.0,1.0,12.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
174,29.99,1,0,20.05,1.0,1.0,47.93000000000001,1.0,1.0,1.0,0.0,0.0,0.0,1.0
175,3.99,2,57,9.13,1.0,0.0,4.299999999999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0
177,0.0,0,0,16.9,0.0,1.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
179,19.99,0,73,15.1,1.0,1.0,31.269999999999996,0.0,0.0,1.0,1.0,0.0,0.0,1.0
181,2.24,1,29,8.85,1.0,0.0,26.479999999999997,1.0,0.0,1.0,0.0,0.0,0.0,1.0
182,7.99,1,35,11.02,1.0,1.0,5.379999999999999,0.0,0.0,1.0,1.0,0.0,0.0,1.0
183,9.99,4,127,2.32,1.0,1.0,10.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0
184,39.99,3,27,14.3,1.0,1.0,47.67,1.0,0.0,1.0,1.0,0.0,0.0,1.0
191,4.49,2,234,4.22,1.0,1.0,49.63,1.0,0.0,0.0,0.0,1.0,1.0,1.0
192,0.0,0,50,8.42,1.0,0.0,4.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0
193,9.99,20,83,16.0,1.0,1.0,31.93,0.0,0.0,1.0,0.0,0.0,0.0,1.0
194,9.99,2,101,23.33,1.0,0.0,42.620000000000005,1.0,0.0,1.0,0.0,0.0,0.0,1.0
195,16.79,2,55,31.7,1.0,1.0,24.48,0.0,0.0,0.0,1.0,0.0,0.0,1.0
196,14.99,1,17,7.35,1.0,1.0,12.88,1.0,0.0,1.0,1.0,0.0,1.0,1.0
197,19.99,9,22,3.63,1.0,0.0,5.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0
198,5.99,0,67,10.05,1.0,1.0,23.249999999999996,0.0,0.0,1.0,0.0,0.0,0.0,1.0
200,44.99,8,73,26.02,1.0,1.0,48.46000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0
203,4.99,0,0,2.37,0.0,1.0,2.8999999999999995,1.0,0.0,0.0,0.0,1.0,0.0,1.0
206,14.99,3,50,5.95,1.0,0.0,15.280000000000001,1.0,0.0,0.0,0.0,1.0,0.0,1.0
207,24.99,15,100,38.5,1.0,0.0,26.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
208,29.99,7,45,7.17,1.0,1.0,7.58,0.0,0.0,1.0,0.0,0.0,0.0,1.0
209,4.99,0,16,5.18,0.0,1.0,5.290000000000001,1.0,0.0,0.0,1.0,1.0,1.0,1.0
211,39.99,7,50,18.65,1.0,1.0,16.370000000000005,0.0,0.0,1.0,0.0,0.0,0.0,1.0
213,4.99,0,35,30.28,1.0,1.0,8.89,0.0,0.0,0.0,0.0,0.0,0.0,1.0
215,14.99,0,31,7.63,1.0,1.0,16.650000000000002,1.0,0.0,1.0,0.0,0.0,1.0,1.0
216,6.99,1,16,6.98,1.0,1.0,3.0999999999999996,1.0,1.0,0.0,1.0,0.0,0.0,1.0
218,19.99,1,37,23.85,1.0,1.0,19.619999999999997,1.0,0.0,0.0,1.0,0.0,0.0,0.0
219,29.99,6,46,9.88,1.0,1.0,11.19,1.0,0.0,0.0,1.0,0.0,0.0,1.0
221,19.99,1,50,11.57,1.0,1.0,13.829999999999998,0.0,0.0,1.0,0.0,0.0,0.0,1.0
223,15.99,0,0,32.25,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
225,29.99,0,50,12.92,1.0,1.0,34.61,0.0,0.0,1.0,0.0,0.0,0.0,1.0
226,19.99,1,9,2.23,1.0,1.0,0.7200000000000002,1.0,0.0,0.0,1.0,0.0,0.0,1.0
227,3.49,0,35,9.25,1.0,0.0,19.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
229,19.99,5,70,20.88,1.0,1.0,32.650000000000006,0.0,0.0,1.0,1.0,0.0,0.0,0.0
230,29.99,3,85,27.33,1.0,1.0,49.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
232,10.99,1,234,8.87,1.0,0.0,47.510000000000005,1.0,1.0,0.0,0.0,1.0,0.0,1.0
233,6.99,0,26,5.17,1.0,1.0,7.76,1.0,0.0,0.0,1.0,0.0,0.0,1.0
238,35.99,3,42,29.07,1.0,1.0,31.86,0.0,1.0,1.0,1.0,0.0,0.0,1.0
239,9.99,2,65,5.52,1.0,1.0,10.600000000000001,1.0,1.0,0.0,1.0,1.0,0.0,1.0
240,14.99,2,67,11.35,1.0,1.0,16.85,0.0,0.0,1.0,1.0,0.0,0.0,1.0
243,19.99,0,54,6.7,1.0,0.0,35.33,1.0,0.0,0.0,0.0,1.0,0.0,1.0
244,24.99,1,38,12.8,1.0,0.0,9.07,1.0,1.0,1.0,0.0,0.0,0.0,1.0
246,19.99,10,30,2.17,1.0,1.0,4.13,1.0,0.0,1.0,0.0,0.0,0.0,1.0
248,9.89,1,35,5.72,1.0,1.0,3.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0
249,19.99,5,125,46.67,1.0,0.0,29.909999999999997,1.0,1.0,0.0,1.0,1.0,0.0,1.0
251,19.99,1,70,12.18,1.0,1.0,24.39,0.0,0.0,1.0,1.0,0.0,0.0,1.0
252,29.99,0,85,24.97,1.0,1.0,48.86,0.0,0.0,1.0,1.0,0.0,0.0,0.0
253,12.99,1,41,15.35,1.0,1.0,42.12,0.0,0.0,1.0,0.0,0.0,0.0,1.0
255,11.99,0,13,2.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
257,29.99,1,16,10.68,0.0,1.0,36.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0
258,9.99,0,73,6.52,1.0,1.0,15.379999999999999,0.0,0.0,1.0,0.0,0.0,0.0,1.0
260,19.99,0,103,15.65,1.0,0.0,28.82,1.0,0.0,1.0,1.0,1.0,0.0,1.0
